,neuron_id,neuron_type,RF_area,RF_center
205,205,e5Rbp4,200.0,[9.5 5. ]
206,206,e5Rbp4,400.0,[9.  4.5]
207,207,e5Rbp4,400.0,[7. 8.]
208,208,e5Rbp4,200.0,[8.5 6. ]
209,209,e5Rbp4,400.0,[4.25 4.5 ]
210,210,e5Rbp4,500.0,[7.5 4.5]
211,211,e5Rbp4,600.0,[8.66666667 6.        ]
212,212,e5Rbp4,300.0,[9.83333333 5.83333333]
213,213,e5Rbp4,100.0,[3.5 4.5]
214,214,e5Rbp4,400.0,[7. 7.]
215,215,e5Rbp4,300.0,[3.16666667 6.16666667]
216,216,e5Rbp4,600.0,[6.33333333 5.16666667]
217,217,e5Rbp4,300.0,[5.5 6.5]
218,218,e5Rbp4,200.0,[6.5 6. ]
219,219,e5Rbp4,300.0,[8.83333333 4.83333333]
220,220,e5Rbp4,300.0,[6.16666667 3.83333333]
221,221,e5Rbp4,200.0,[3.  5.5]
222,222,e5Rbp4,400.0,[4.5  4.75]
223,223,e5Rbp4,200.0,[3.5 5. ]
224,224,e5Rbp4,400.0,[3. 6.]
225,225,e5Rbp4,500.0,[8.7 5.1]
226,226,e5Rbp4,400.0,[4. 6.]
227,227,e5Rbp4,700.0,[4.21428571 6.5       ]
228,228,e5Rbp4,300.0,[9.83333333 5.16666667]
229,229,e5Rbp4,400.0,[4. 5.]
230,230,e5Rbp4,500.0,[5.1 6.7]
231,231,e5Rbp4,400.0,[4. 5.]
232,232,e5Rbp4,400.0,[6. 7.]
233,233,e5Rbp4,300.0,[3.83333333 5.83333333]
234,234,e5Rbp4,400.0,[4. 4.]
235,235,e5Rbp4,100.0,[8.5 6.5]
236,236,e5Rbp4,400.0,[7. 3.]
237,237,e5Rbp4,300.0,[6.16666667 3.83333333]
238,238,e5Rbp4,100.0,[7.5 7.5]
239,239,e5Rbp4,500.0,[5.9 3.3]
240,240,e5Rbp4,300.0,[9.16666667 5.16666667]
241,241,e5Rbp4,200.0,[9.5 4. ]
242,242,e5Rbp4,500.0,[5.9 6.7]
243,243,e5Rbp4,200.0,[5.5 7. ]
244,244,e5Rbp4,300.0,[4.16666667 5.83333333]
245,245,e5Rbp4,300.0,[3.83333333 4.83333333]
246,246,e5Rbp4,400.0,[4. 6.]
247,247,e5Rbp4,300.0,[4.16666667 4.83333333]
248,248,e5Rbp4,400.0,[6. 7.]
249,249,e5Rbp4,300.0,[3.16666667 6.16666667]
250,250,e5Rbp4,400.0,[7. 7.]
251,251,e5Rbp4,1100.0,[9.04545455 5.68181818]
252,252,e5Rbp4,700.0,[5.21428571 4.5       ]
253,253,e5Rbp4,400.0,[9.  5.5]
254,254,e5Rbp4,300.0,[6.16666667 6.83333333]
255,255,e5Rbp4,800.0,[5.5 4. ]
256,256,e5Rbp4,300.0,[6.16666667 4.16666667]
257,257,e5Rbp4,200.0,[8.5 6. ]
258,258,e5Rbp4,600.0,[5.  6.5]
259,259,e5Rbp4,400.0,[4. 5.]
260,260,e5Rbp4,700.0,[8.5        4.78571429]
261,261,e5Rbp4,700.0,[0.92857143 8.78571429]
262,262,e5Rbp4,200.0,[7.5 4. ]
263,263,e5Rbp4,200.0,[7.  3.5]
264,264,e5Rbp4,1200.0,[4.66666667 5.33333333]
265,265,e5Rbp4,400.0,[3.25 5.5 ]
266,266,e5Rbp4,500.0,[5.1 4.3]
267,267,e5Rbp4,500.0,[9.1 5.3]
268,268,e5Rbp4,800.0,[11.875  9.375]
269,269,e5Rbp4,400.0,[9. 5.]
270,270,e5Rbp4,200.0,[5.  3.5]
271,271,e5Rbp4,300.0,[0.83333333 0.83333333]
272,272,e5Rbp4,1300.0,[8.73076923 5.5       ]
273,273,e5Rbp4,400.0,[6. 7.]
274,274,e5Rbp4,300.0,[9.5 4.5]
275,275,e5Rbp4,600.0,[6.5 4. ]
276,276,e5Rbp4,100.0,[5.5 7.5]
277,277,e5Rbp4,300.0,[3.83333333 3.83333333]
278,278,e5Rbp4,600.0,[5.16666667 6.16666667]
279,279,e5Rbp4,200.0,[4.  0.5]
280,280,e5Rbp4,300.0,[3.83333333 5.83333333]
281,281,e5Rbp4,200.0,[5.  6.5]
282,282,e5Rbp4,400.0,[4. 6.]
283,283,e5Rbp4,1100.0,[5.04545455 7.04545455]
284,284,e5Rbp4,500.0,[3.9 5.3]
285,285,e5Rbp4,1600.0,[7.875 6.75 ]
286,286,e5Rbp4,600.0,[8.  4.5]
287,287,e5Rbp4,400.0,[9. 4.]
288,288,e5Rbp4,300.0,[7.16666667 4.16666667]
289,289,e5Rbp4,700.0,[7.21428571 4.21428571]
290,290,e5Rbp4,400.0,[5. 3.]
291,291,e5Rbp4,400.0,[3. 6.]
292,292,e5Rbp4,300.0,[6.16666667 4.83333333]
