,neuron_id,neuron_type,RF_area,RF_center
274,274,e5Rbp4,500.0,[5.1 6.3]
275,275,e5Rbp4,400.0,[6.5  0.75]
276,276,e5Rbp4,700.0,[6.78571429 6.5       ]
277,277,e5Rbp4,1100.0,[7.59090909 5.95454545]
278,278,e5Rbp4,500.0,[7.7 6.5]
279,279,e5Rbp4,400.0,[4. 5.]
280,280,e5Rbp4,400.0,[6. 6.]
281,281,e5Rbp4,400.0,[5. 5.]
282,282,e5Rbp4,600.0,[4.66666667 5.66666667]
283,283,e5Rbp4,500.0,[9.3 5.9]
284,284,e5Rbp4,500.0,[8.3 4.9]
285,285,e5Rbp4,400.0,[3.5  5.75]
286,286,e5Rbp4,1700.0,[5.44117647 8.26470588]
287,287,e5Rbp4,200.0,[8.5 6. ]
288,288,e5Rbp4,700.0,[5.5 4.5]
289,289,e5Rbp4,500.0,[7.3 4.1]
290,290,e5Rbp4,400.0,[4.25 5.5 ]
291,291,e5Rbp4,400.0,[4.75 4.5 ]
292,292,e5Rbp4,400.0,[5. 5.]
293,293,e5Rbp4,600.0,[6.  4.5]
294,294,e5Rbp4,400.0,[12.25  9.75]
295,295,e5Rbp4,1700.0,[2.73529412 8.14705882]
296,296,e5Rbp4,400.0,[5. 6.]
297,297,e5Rbp4,200.0,[ 1.  10.5]
298,298,e5Rbp4,400.0,[8.75 5.5 ]
299,299,e5Rbp4,700.0,[2.5 6.5]
300,300,e5Rbp4,800.0,[7.   4.75]
301,301,e5Rbp4,600.0,[7.33333333 4.66666667]
302,302,e5Rbp4,,[2.96428571 7.10714286]
303,303,e5Rbp4,400.0,[8. 6.]
304,304,e5Rbp4,500.0,[4.9 5.3]
305,305,e5Rbp4,400.0,[8. 6.]
306,306,e5Rbp4,800.0,[8. 5.]
307,307,e5Rbp4,500.0,[5.9 6.3]
308,308,e5Rbp4,800.0,[4.625 4.375]
309,309,e5Rbp4,400.0,[6. 6.]
310,310,e5Rbp4,300.0,[4.16666667 5.16666667]
311,311,e5Rbp4,300.0,[9.16666667 5.16666667]
312,312,e5Rbp4,800.0,[7.375 6.375]
313,313,e5Rbp4,800.0,[6. 5.]
314,314,e5Rbp4,700.0,[11.5         1.07142857]
315,315,e5Rbp4,900.0,[6.94444444 4.38888889]
316,316,e5Rbp4,500.0,[5.1 5.7]
317,317,e5Rbp4,500.0,[5.3 4.9]
318,318,e5Rbp4,400.0,[6. 5.]
319,319,e5Rbp4,400.0,[5. 6.]
320,320,e5Rbp4,800.0,[4.375 5.625]
321,321,e5Rbp4,400.0,[4.75 3.5 ]
322,322,e5Rbp4,2100.0,[8.35714286 6.07142857]
