,node_id pop_name max_mean_rate(Hz) preferred_angle OSI DSI Ave_Rate(Hz) firing_rate_sp,firing_rate_white_flash,firing_rate_black_flash,tfs,significant_tfs
151,151 e5Rbp4 7.062233180538121 71.75401173163519 0.2281504532772165 0.1329304608882101 3.825 2.025,,,,
152,152 e5Rbp4 12.52656116076741 66.00087719511352 0.362785744561822 0.1231925358312517 6.23125 2.7,,,,
153,153 e5Rbp4 4.796116682576638 71.42423858677283 0.1739785735535874 0.0980059251739346 2.5937500000000004 2.4,,,,
154,154 e5Rbp4 4.375758629458851 71.83078579298187 0.2331629884207543 0.0649046255354332 2.225 1.9500000000000002,,,,
155,155 e5Rbp4 9.248219968634563 73.54058202144407 0.4040136708041309 0.1862726387883186 3.1625 1.9000000000000001,,,,
156,156 e5Rbp4 23.618445426352952 72.85399154343263 0.2053882042543416 0.0741045078506452 13.69375 10.799999999999999,19.36,12.68,44.5,True
157,157 e5Rbp4 5.261978052570171 64.33892884456212 0.2170659831872212 0.1219313713395841 3.09375 2.3750000000000004,,,,
158,158 e5Rbp4 9.56131428080822 73.53444990321977 0.2654748314280228 0.0829289438231731 5.39375 3.5749999999999997,,,,
159,159 e5Rbp4 3.900111740599173 67.53904233452428 0.1907675364930397 0.0920693176395511 2.55 2.2,,,,
160,160 e5Rbp4 5.456656099837975 79.39652513264103 0.1868583162217659 0.1115090441622119 3.04375 2.7500000000000004,,,,
161,161 e5Rbp4 17.573123849874708 73.65973346493192 0.1588857843524443 0.0480734055780511 12.143750000000002 8.450000000000001,,,,
162,162 e5Rbp4 9.485728429165844 77.76321423910277 0.2728902546665919 0.1105919449308867 4.40625 3.1500000000000004,,,,
163,163 e5Rbp4 5.218169645215619 79.99360524758688 0.1460489682407083 0.1012368018462259 3.1125 2.175,,,,
164,164 e5Rbp4 14.78510894418787 69.87380850538385 0.0555486874449693 0.0235295661851574 11.93125 10.95,,,,
165,165 e5Rbp4 4.824773169544024 76.40835072882255 0.1445253402158149 0.0786291240252515 3.25 1.925,,,,
166,166 e5Rbp4 6.18506473451365 73.96226560833905 0.1778613821997337 0.1229259335599211 3.2687500000000003 2.225,,,,
167,167 e5Rbp4 8.342549513624473 75.64328254971346 0.2579874997083793 0.0787500131626243 4.65 1.675,,,,
168,168 e5Rbp4 5.637641291679639 85.03653399238424 0.1955281033172756 0.0723042233349968 3.4000000000000004 2.65,,,,
169,169 e5Rbp4 2.7528514281490857 76.40976654972602 0.2574018779661643 0.0762099258128795 1.53125 1.4999999999999998,,,,
170,170 e5Rbp4 5.953990285180653 78.70060262854936 0.2037295627342508 0.1093621805148101 3.15625 2.3999999999999995,,,,
171,171 e5Rbp4 2.834599930101062 80.12334294847881 0.2218607223913091 0.0942674804873347 1.6687500000000002 1.8500000000000003,,,,
172,172 e5Rbp4 5.676717955627226 81.36130863150143 0.230162575912841 0.1180696477316022 3.03125 2.0249999999999995,,,,
173,173 e5Rbp4 5.276092163773462 76.1201811990655 0.1490808231375335 0.0619285096928505 3.3000000000000003 2.825,,,,
174,174 e5Rbp4 7.938343507830647 82.49065106576518 0.1914652882077391 0.116952820323636 4.26875 2.8749999999999996,,,,
175,175 e5Rbp4 6.382756605823205 79.40216157975551 0.1939461460539139 0.0820298254084349 3.66875 2.6750000000000003,,,,
176,176 e5Rbp4 4.100465471771842 85.19660597045292 0.1748386079474035 0.0495670202341896 2.75625 3.125,,,,
177,177 e5Rbp4 14.85020495326832 93.8309857715695 0.0228076499602494 0.0180674715208636 13.7125 11.375,,,,
178,178 e5Rbp4 3.864826764268374 82.88381225093048 0.1995319235885257 0.1171706062969217 2.19375 2.775,,,,
179,179 e5Rbp4 4.956276687989476 89.37546754588266 0.2653599046898631 0.0649885669099024 2.875 2.2,,,,
180,180 e5Rbp4 8.21408442580743 83.21229203255041 0.2727668945074868 0.107803779702511 4.03125 3.0999999999999996,,,,
181,181 e5Rbp4 4.488023416190978 81.64235959514195 0.1618867572729265 0.1073226562915436 2.6625000000000005 2.3499999999999996,,,,
182,182 e5Rbp4 3.91502370342151 73.29668723324733 0.1898873608835179 0.1039407173732931 2.45625 2.0250000000000004,,,,
183,183 e5Rbp4 29.599682534668567 87.33604735178174 0.0445454512434079 0.0240548180622576 26.01875 20.624999999999996,,,,
184,184 e5Rbp4 5.874850162053016 82.43813633943961 0.3213247963217692 0.0933420323517297 2.94375 2.15,,,,
185,185 e5Rbp4 11.155744337888535 155.43656467649856 0.0150239729731229 0.0282943464862326 11.1625 10.575000000000001,,,,
186,186 e5Rbp4 6.2348398378470895 83.76394388338153 0.241383325675701 0.0987648451216742 3.4125 2.0,,,,
187,187 e5Rbp4 5.430516009518611 94.96150774779125 0.2702276062575278 0.1259441317166616 2.8 2.625,,,,
188,188 e5Rbp4 4.650458606880696 82.53881306311884 0.2022185323569401 0.0912408567994643 2.48125 1.8249999999999997,,,,
189,189 e5Rbp4 5.099345361053088 82.84347488425807 0.2205250896590857 0.1194174777671162 2.7125 3.6750000000000003,,,,
190,190 e5Rbp4 9.575873446440768 80.77750944024073 0.4026398910043752 0.1062160392680899 4.3 2.35,10.8,5.32,72.5,True
191,191 e5Rbp4 6.780113505418793 85.89903691117176 0.3099723732082425 0.1392386319337387 3.2937500000000006 2.3499999999999996,,,,
192,192 e5Rbp4 5.297354009435428 89.85485915825426 0.2937690800479943 0.1816530561823496 2.46875 3.0250000000000004,,,,
193,193 e5Rbp4 12.057012875971616 80.3739388528211 0.4259054587390704 0.0937653018676055 5.11875 4.3500000000000005,,,,
194,194 e5Rbp4 4.8548613090631125 91.36421141303629 0.1647853166048835 0.0786977375717723 3.1562500000000004 2.9750000000000005,,,,
195,195 e5Rbp4 3.748695531883157 83.98835475305603 0.1949461715493217 0.0820134118045662 2.0937500000000004 1.775,,,,
196,196 e5Rbp4 10.832958069746864 82.73536867112703 0.2823039802873474 0.1157295956726316 5.69375 3.5500000000000007,,,,
197,197 e5Rbp4 2.8414813299660886 85.80017920470644 0.2327293857905574 0.112808337056849 1.5124999999999995 2.725,,,,
198,198 e5Rbp4 5.345493035820989 92.0770970408934 0.285181111391112 0.1273490097042966 2.6125000000000003 1.3,,,,
199,199 e5Rbp4 8.661393982655582 93.02693435762484 0.192216836833646 0.0923732637763233 5.54375 5.05,,,,
200,200 e5Rbp4 9.466044179329758 91.68164047443292 0.4342229591330567 0.2058483293899266 3.5562500000000004 3.8999999999999995,20.92,14.48,32.5,False
201,201 e5Rbp4 26.29790420666809 86.64569795492032 0.1418247533979196 0.0277488411764842 19.04375 13.275,,,,
202,202 e5Rbp4 5.628336106301361 94.1444523621396 0.207300918835063 0.0915470102010143 3.1500000000000004 3.85,,,,
203,203 e5Rbp4 7.061395080357882 88.40756583657242 0.2798274371409516 0.1013502435766597 3.78125 2.625,,,,
204,204 e5Rbp4 2.7891032292691857 276.330925806932 0.152822785727996 0.0073682629058815 1.8625 2.05,,,,
205,205 e5Rbp4 3.4067188846749983 92.76461746020163 0.1234093767622489 0.0705560732371408 2.28125 1.7500000000000002,,,,
206,206 e5Rbp4 9.52692684364986 100.95149326544676 0.2875747657162153 0.110998965689366 4.8 4.675,,,,
207,207 e5Rbp4 6.465393885486481 98.70755623386344 0.2231589981215136 0.0919175648740377 3.5625000000000004 3.1249999999999996,,,,
208,208 e5Rbp4 4.077386805612911 102.30402627886372 0.1234950732874937 0.037363557897658 2.76875 1.2999999999999998,,,,
209,209 e5Rbp4 23.19941594347165 93.80111923714352 0.1541038545114242 0.0525778789157444 15.75625 13.825000000000001,,,,
210,210 e5Rbp4 5.732166601681716 96.04453156930096 0.1861865419975566 0.0762341592251751 3.45625 4.425,,,,
211,211 e5Rbp4 2.9634990002360557 93.63085621951912 0.2819594541540469 0.1333531056274437 1.3125000000000002 2.1,,,,
212,212 e5Rbp4 22.64658883019307 95.8691205526771 0.1531779799363036 0.0323994680821681 16.212500000000002 14.799999999999999,27.08,20.84,30.0,False
213,213 e5Rbp4 5.573999487187777 96.00684471115407 0.1945321716230916 0.1003636050507438 3.05625 2.15,,,,
214,214 e5Rbp4 12.464632946171752 101.05833730273028 0.0282330451012993 0.0285669830699089 10.85625 8.975,,,,
215,215 e5Rbp4 2.840744631495844 90.684621481663 0.2037250751625828 0.11145869679624 1.6 1.6,,,,
216,216 e5Rbp4 3.928005888758773 94.8682858608535 0.1128366419126443 0.0652142454131677 2.90625 1.8,,,,
217,217 e5Rbp4 6.390643998092702 102.35487124753826 0.138266579688743 0.0506861507427555 4.25 4.45,,,,
218,218 e5Rbp4 4.879849212263523 94.41850277581446 0.2388753285429017 0.1179525994288373 2.6125000000000003 2.275,,,,
219,219 e5Rbp4 13.589332751788614 94.67403129067924 0.3181620440927775 0.1478214354416471 6.13125 4.7,,,,
220,220 e5Rbp4 11.883320398758006 90.1728969964586 0.2852243337246749 0.1142107652681501 6.18125 6.425,,,,
221,221 e5Rbp4 3.855161607660524 100.11741076884933 0.1420618199934031 0.0559159963838235 2.63125 1.7250000000000003,,,,
222,222 e5Rbp4 5.835902230453054 88.25717675405657 0.1590498577374826 0.1021553708956401 3.5375 2.55,,,,
223,223 e5Rbp4 4.559241594841586 91.68369144113564 0.1333304760604788 0.0493640670488606 3.2375000000000003 2.8000000000000003,,,,
224,224 e5Rbp4 5.698541297012618 101.1765735746015 0.2752071075312586 0.0772375195616243 2.9562500000000003 2.15,,,,
